tanggal,suhu_rata,curah_hujan,is_libur_nasional,kuartal,is_weekend,is_awal_bulan,bulan_sin,bulan_cos,is_lebaran,is_natal_tahunbaru,is_musim_panen,lag_1,lag_7,lag_30,rawit_lag_1,rawit_lag_7,roll_std_7,roll_mean_30,roll_std_30,momentum_7,rasio_tren_7_30,volatilitas_14,roll_hujan_30,is_hari_hujan,harga_cabai_merah,harga_cabai_rawit
2022-02-02,0.8181818181818183,0.021894736842105262,0.0,0.0,0.0,1.0,0.9330127018922193,0.75,0.0,0.0,0.0,0.05315614617940195,0.03654485049833883,0.2724252491694352,0.48648648648648657,0.5405405405405406,0.048323739339424035,0.11466077831574262,0.2533607890783101,0.6942949407965554,0.36918741475345207,0.0808296474611823,0.4668455346876198,0.0,25500.0,45750.0
2022-02-03,0.8181818181818183,0.021894736842105262,0.0,0.0,0.0,1.0,0.9330127018922193,0.75,0.0,0.0,0.0,0.046511627906976716,0.08637873754152825,0.2724252491694352,0.481981981981982,0.5225225225225225,0.040469263389094116,0.10639547839474911,0.24595915577174912,0.6393972012917115,0.386565157706386,0.08204874138381037,0.4668455346876198,0.0,26500.0,45750.0
2022-02-04,0.8181818181818183,0.021894736842105262,0.0,0.0,0.0,1.0,0.9330127018922193,0.75,0.0,0.0,0.0,0.059800664451827246,0.07308970099667772,0.2724252491694352,0.481981981981982,0.5135135135135136,0.027698731259197196,0.09861637258675532,0.23510389143587998,0.6652314316469322,0.3916681316487942,0.08229577663954617,0.4668455346876198,0.0,25500.0,45250.0
2022-02-05,0.8181818181818183,0.021894736842105262,0.0,0.0,1.0,1.0,0.9330127018922193,0.75,0.0,0.0,0.0,0.046511627906976716,0.06866002214839423,0.2724252491694352,0.47297297297297297,0.5060060060060061,0.026231270861624186,0.09035107266576181,0.2228927757439241,0.6566200215285253,0.39784186817842493,0.08336922947896602,0.4668455346876198,0.0,27000.0,42833.333333333336
2022-02-06,0.8181818181818183,0.021894736842105262,0.0,0.0,1.0,1.0,0.9330127018922193,0.75,0.0,0.0,0.0,0.06644518272425248,0.06423034330011068,0.2724252491694352,0.42942942942942947,0.49849849849849853,0.024765623417102745,0.08281506391426785,0.2063393746636081,0.6803013993541442,0.41117916387806086,0.08456584375703984,0.4668455346876198,0.0,28500.0,40416.666666666664
2022-02-07,0.8181818181818183,0.021894736842105262,0.0,0.0,0.0,1.0,0.9330127018922193,0.75,0.0,0.0,0.0,0.08637873754152825,0.059800664451827246,0.2724252491694352,0.38588588588588585,0.490990990990991,0.04243157124757126,0.07600834633227321,0.18574741396187022,0.7039827771797632,0.4319878098671802,0.09248290768815541,0.4668455346876198,0.0,30000.0,38000.0
2022-02-08,0.8181818181818183,0.021894736842105262,0.0,0.0,0.0,0.0,0.9330127018922193,0.75,0.0,0.0,0.0,0.10631229235880396,0.05315614617940195,0.2724252491694352,0.34234234234234234,0.48648648648648657,0.06862097689498914,0.06993091991977801,0.16122498024544774,0.7298170075349838,0.46051948697482814,0.10735354236566683,0.4668455346876198,0.0,32000.0,41500.0
2022-02-09,0.8181818181818183,0.021894736842105262,0.0,0.0,0.0,0.0,0.9330127018922193,0.75,0.0,0.0,0.0,0.13289036544850497,0.046511627906976716,0.2724252491694352,0.40540540540540543,0.481981981981982,0.09965986085351758,0.06482588173328202,0.1331123595547732,0.7621097954790097,0.49957862870131664,0.13563656934489768,0.4668455346876198,0.0,32500.0,40000.0
2022-02-10,0.8181818181818183,0.021894736842105262,0.0,0.0,0.0,0.0,0.9330127018922193,0.75,0.0,0.0,0.0,0.1395348837209302,0.059800664451827246,0.1661129568106312,0.37837837837837845,0.481981981981982,0.11146749458686339,0.059963940603285915,0.09889594010037206,0.7556512378902045,0.5438150117143035,0.15350652295359077,0.4668455346876198,0.0,36000.0,34500.0
2022-02-11,0.8181818181818183,0.021894736842105262,0.0,0.0,0.0,0.0,0.9330127018922193,0.75,0.0,0.0,0.0,0.18604651162790697,0.046511627906976716,0.1661129568106312,0.27927927927927926,0.47297297297297297,0.14644786983002575,0.06069323177278535,0.10320511486446418,0.813778256189451,0.5874443630969858,0.21060158934678272,0.4668455346876198,0.0,36000.0,34500.0
